OBJECTID,pnd_id,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,reg_entiteit,reg_aard,reg_opnamedatum,reg_status,SHAPE_Length,SHAPE_Area
75724,30600,STIJFSELSTRAAT,28,30,,A,Antwerpen,2000,verdieping 3,woning,2019/06/28 00:00:00+00,opname,39.5507210843973,94.6127159051489
75725,30601,STIJFSELSTRAAT,28,30,,A,Antwerpen,2000,tussenverdieping,gebouw,2019/06/28 00:00:00+00,opname,39.5507210843973,94.6127159051489
75726,30602,STIJFSELSTRAAT,28,30,,A,Antwerpen,2000,verdieping 4,gebouw,2019/06/28 00:00:00+00,opname,39.5507210843973,94.6127159051489
75727,37025,RUYTERMANSWEG,55,,,Z,Bezali,2040,volledig pand,woning,2023/12/01 00:00:00+00,aanvraagschrapping,62.5438254798616,211.15566668536
75728,30130,HERENTALSEBAAN,324,,,D,Deurne,2100,gelijkvloers,gebouw,2020/07/24 00:00:00+00,opname,42.5937515100739,99.6440341152409
75729,23011,CONGRESSTRAAT,1,,16,A,Antwerpen,2060,1ste verdieping app. C,woning,2016/03/14 00:00:00+00,opname,115.879532134672,776.505102941058
75730,38557,COPERNICUSLAAN,30,,65,A,Antwerpen,2018,G65,woning,2025/01/22 00:00:00+00,opname,179.386338108625,1874.45443334968
75731,38401,ANTWERPSEBAAN,287,,,Z,Bezali,2040,volledig pand,woning,2025/08/05 00:00:00+00,opname,86.7214261220932,337.545077990496
75732,40750,SINT-AUGUSTINUSLAAN,13,1,,W,Wilrijk,2610,gelijkvloers,woning,2024/12/16 00:00:00+00,aanvraagschrapping,87.8332750144851,339.324690915779
75733,27189,VAN VAERENBERGHSTRAAT,68,,,R,Berchem,2600,handelsgelijkvloers,gebouw,2017/04/07 00:00:00+00,opname,36.0871855695215,64.2657173710017
75734,33843,SCHEIDINGSTRAAT,16,,,W,Wilrijk,2610,volledig pand,woning,2021/07/16 00:00:00+00,opname,46.6015924354726,93.9382233588279
75735,52672,ANNUNTIATENSTRAAT,34,,,M,Merksem,2170,volledig pand,woning,2026/01/29 00:00:00+00,kennisgeving,59.3287349832572,111.261078494298
75736,39732,PELIKAANSTRAAT,130,,,A,Antwerpen,2018,gelijkvloers,gebouw,2024/07/23 00:00:00+00,opname,47.0256300659487,104.948568633239
75737,39480,ARTHUR GOEMAERELEI,67,,,A,Antwerpen,2018,volledig pand,woning,2025/07/15 00:00:00+00,opname,67.1833891984468,191.695146609417
75738,19551,HOLLEBEEKSTRAAT,200,,,H,Hoboken,2660,nvt,woning,2012/12/19 00:00:00+00,opname,96.4191689344357,376.769618203711
75739,39202,JUSTITIESTRAAT,63,,,A,Antwerpen,2018,gelijkvloers,gebouw,2024/06/03 00:00:00+00,opname,41.9552871646827,77.1221211883252
75740,31571,POLITESHOFSTRAAT,25,,,A,Antwerpen,2018,volledig pand,woning,2021/03/11 00:00:00+00,opname,52.4020982378132,107.564706519476
75741,34420,ISABELLALEI,115,,,A,Antwerpen,2018,glv + achter 1/2/3 verdiep,gebouw,2021/12/02 00:00:00+00,opname,118.689411363926,401.98420644905
75742,29377,BREYDELSTRAAT,12,,,A,Antwerpen,2018,handelsgelijkvloers,gebouw,2018/10/17 00:00:00+00,opname,70.1943591426653,197.148804437229
75743,49467,HOOGSTRAAT,60,,,A,Antwerpen,2000,gelijkvloers,gebouw,2025/10/20 00:00:00+00,opname,33.1388972174952,70.3587857002917
75744,28357,PRINS ALBERTLEI,31,,6,R,Berchem,2600,1E VERDIEPING RECHTS,woning,2025/03/11 00:00:00+00,opname,84.1741393719384,426.057916064334
75745,36691,MORGENSTRAAT,3,,,A,Antwerpen,2000,1ste verdieping (K101),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75746,36806,MORGENSTRAAT,3,,,A,Antwerpen,2000,1ste verdieping (K102),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75747,36807,MORGENSTRAAT,3,,,A,Antwerpen,2000,1ste verdieping (K103),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75748,36808,MORGENSTRAAT,3,,,A,Antwerpen,2000,1ste verdieping (K104),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75749,36809,MORGENSTRAAT,3,,,A,Antwerpen,2000,1ste verdieping (K105),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75750,36810,MORGENSTRAAT,3,,,A,Antwerpen,2000,1ste verdieping (K106),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75751,36811,MORGENSTRAAT,3,,,A,Antwerpen,2000,2de verdieping (K201),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75752,36812,MORGENSTRAAT,3,,,A,Antwerpen,2000,2de verdieping (K202),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
75753,36813,MORGENSTRAAT,3,,,A,Antwerpen,2000,2de verdieping (K203),kamer,2023/10/13 00:00:00+00,opname,56.3565521551304,192.682396798335
