adres,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,samengevoegde_regels,unieke_pnd_ids_count,objectids,pnd_ids,reg_entiteiten,reg_aarden,reg_aard_telling,reg_statussen,reg_status_telling,eerste_opnamedatum,laatste_opnamedatum,alle_opnamedata,shape_lengths,shape_areas,verschillende_velden,bronregels_volledig
"Breydelstraat 12, 2018 Antwerpen",BREYDELSTRAAT,12,,,A,Antwerpen,2018,1,1,75742,29377,handelsgelijkvloers,gebouw,gebouw:1,opname,opname:1,2018/10/17 00:00:00+00,2018/10/17 00:00:00+00,2018/10/17 00:00:00+00,70.1943591426653,197.148804437229,,"75742,29377,BREYDELSTRAAT,12,,,A,Antwerpen,2018,handelsgelijkvloers,gebouw,2018/10/17 00:00:00+00,opname,70.1943591426653,197.148804437229"
"Broederminstraat 50, 2018 Antwerpen",BROEDERMINSTRAAT,50,,,A,Antwerpen,2018,1,1,75059,23484,nvt,gebouw,gebouw:1,opname,opname:1,2015/07/13 00:00:00+00,2015/07/13 00:00:00+00,2015/07/13 00:00:00+00,109.037437800638,335.673812451687,,"75059,23484,BROEDERMINSTRAAT,50,,,A,Antwerpen,2018,nvt,gebouw,2015/07/13 00:00:00+00,opname,109.037437800638,335.673812451687"
"Consciencestraat 44, 2018 Antwerpen",CONSCIENCESTRAAT,44,,,A,Antwerpen,2018,1,1,75092,15483,volledig pand,woning,woning:1,opname,opname:1,2020/10/22 00:00:00+00,2020/10/22 00:00:00+00,2020/10/22 00:00:00+00,53.973953708116,111.29155709055,,"75092,15483,CONSCIENCESTRAAT,44,,,A,Antwerpen,2018,volledig pand,woning,2020/10/22 00:00:00+00,opname,53.973953708116,111.29155709055"
"Constantia Teichmannplaats 13, 2018 Antwerpen",CONSTANTIA TEICHMANNPLAATS,13,,,A,Antwerpen,2018,1,1,75291,43384,Volledig pand,woning,woning:1,opname,opname:1,2025/05/20 00:00:00+00,2025/05/20 00:00:00+00,2025/05/20 00:00:00+00,42.7445043912037,76.4110738437906,,"75291,43384,CONSTANTIA TEICHMANNPLAATS,13,,,A,Antwerpen,2018,Volledig pand,woning,2025/05/20 00:00:00+00,opname,42.7445043912037,76.4110738437906"
"Copernicuslaan 30 bus 65, 2018 Antwerpen",COPERNICUSLAAN,30,,65,A,Antwerpen,2018,1,1,75730,38557,G65,woning,woning:1,opname,opname:1,2025/01/22 00:00:00+00,2025/01/22 00:00:00+00,2025/01/22 00:00:00+00,179.386338108625,1874.45443334968,,"75730,38557,COPERNICUSLAAN,30,,65,A,Antwerpen,2018,G65,woning,2025/01/22 00:00:00+00,opname,179.386338108625,1874.45443334968"
"Cuylitsstraat 39, 2018 Antwerpen",CUYLITSSTRAAT,39,,,A,Antwerpen,2018,1,1,74936,10304,volledig pand,woning,woning:1,opname,opname:1,2024/08/02 00:00:00+00,2024/08/02 00:00:00+00,2024/08/02 00:00:00+00,94.3798620285786,251.375649016307,,"74936,10304,CUYLITSSTRAAT,39,,,A,Antwerpen,2018,volledig pand,woning,2024/08/02 00:00:00+00,opname,94.3798620285786,251.375649016307"
"Cuylitsstraat 49, 2018 Antwerpen",CUYLITSSTRAAT,49,,,A,Antwerpen,2018,1,1,75334,36723,gelijkvloers,woning,woning:1,opname,opname:1,2023/09/13 00:00:00+00,2023/09/13 00:00:00+00,2023/09/13 00:00:00+00,83.9486858159847,214.386277580103,,"75334,36723,CUYLITSSTRAAT,49,,,A,Antwerpen,2018,gelijkvloers,woning,2023/09/13 00:00:00+00,opname,83.9486858159847,214.386277580103"
"Desguinlei 84, 2018 Antwerpen",DESGUINLEI,84,,,A,Antwerpen,2018,1,1,75081,33105,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2021/03/04 00:00:00+00,2021/03/04 00:00:00+00,2021/03/04 00:00:00+00,39.8617347526063,88.284633237715,,"75081,33105,DESGUINLEI,84,,,A,Antwerpen,2018,gelijkvloers,gebouw,2021/03/04 00:00:00+00,opname,39.8617347526063,88.284633237715"
"Haringrodestraat 44, 2018 Antwerpen",HARINGRODESTRAAT,44,,,A,Antwerpen,2018,1,1,75297,33474,2de verdieping,woning,woning:1,opname,opname:1,2021/05/21 00:00:00+00,2021/05/21 00:00:00+00,2021/05/21 00:00:00+00,60.2995344879552,155.694668032231,,"75297,33474,HARINGRODESTRAAT,44,,,A,Antwerpen,2018,2de verdieping,woning,2021/05/21 00:00:00+00,opname,60.2995344879552,155.694668032231"
"Hertsdeinstraat 41, 2018 Antwerpen",HERTSDEINSTRAAT,41,,,A,Antwerpen,2018,1,1,75798,28943,3e verdieping,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2018/06/27 00:00:00+00,2018/06/27 00:00:00+00,2018/06/27 00:00:00+00,30.7022499188162,54.0660209753351,,"75798,28943,HERTSDEINSTRAAT,41,,,A,Antwerpen,2018,3e verdieping,woning,2018/06/27 00:00:00+00,aanvraagschrapping,30.7022499188162,54.0660209753351"
